Name,Description,Location,Latitude,Longitude,Type Of Site,Historical Era,Key Features,Opening Hours,Typical Visit Duration,Entry Fee,Text
Mosque-Madrassa of Sultan Hassan,"A grand 14th-century Mamluk complex noted for its sheer scale, towering walls, and ornate decoration. Its madrassa once taught the four main Sunni schools of jurisprudence, reflecting Cairo's position as an educational center.",cairo,30.0292,31.2618,mosque,islamic,"['Imposing facade', 'Elaborate interiors', 'Attached madrassa (school)']",09:00 - 17:00,1 - 2 hours,"80 EGP (foreigners), 10 EGP (Egyptians)","Name: Mosque-Madrassa of Sultan Hassan, Description: A grand 14th-century Mamluk complex noted for its sheer scale, towering walls, and ornate decoration. Its madrassa once taught the four main Sunni schools of jurisprudence, reflecting Cairo's position as an educational center., Location: cairo, Key Features: ['Imposing facade', 'Elaborate interiors', 'Attached madrassa (school)'], Historical Era: islamic, Type: mosque, Opening Hours: 09:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 80 EGP (foreigners), 10 EGP (Egyptians)"
Al-Rifa’i Mosque,"Located opposite the Mosque of Sultan Hassan, Al-Rifa’i was completed in the early 20th century. It houses royal tombs and combines traditional Mamluk design with European architectural influences.",cairo,30.0294,31.2619,mosque,islamic,"['Royal tombs', 'Adjacent to Sultan Hassan Mosque', 'Eclectic architectural style']",09:00 - 17:00,1 hour,"80 EGP (foreigners), 10 EGP (Egyptians)","Name: Al-Rifa’i Mosque, Description: Located opposite the Mosque of Sultan Hassan, Al-Rifa’i was completed in the early 20th century. It houses royal tombs and combines traditional Mamluk design with European architectural influences., Location: cairo, Key Features: ['Royal tombs', 'Adjacent to Sultan Hassan Mosque', 'Eclectic architectural style'], Historical Era: islamic, Type: mosque, Opening Hours: 09:00 - 17:00, Visit Duration: 1 hour, Entry Fee: 80 EGP (foreigners), 10 EGP (Egyptians)"
The Hanging Church,"Suspended above a Roman fortress gatehouse, this Coptic Orthodox church is dedicated to the Virgin Mary. It showcases beautiful wooden screens and icons, reflecting Egypt’s rich Christian heritage.",cairo,30.005,31.2299,church,coptic,"['Suspended nave', 'Iconic Coptic art', 'Historic pilgrimage site']",09:00 - 17:00,1 hour,Free,"Name: The Hanging Church, Description: Suspended above a Roman fortress gatehouse, this Coptic Orthodox church is dedicated to the Virgin Mary. It showcases beautiful wooden screens and icons, reflecting Egypt’s rich Christian heritage., Location: cairo, Key Features: ['Suspended nave', 'Iconic Coptic art', 'Historic pilgrimage site'], Historical Era: coptic, Type: church, Opening Hours: 09:00 - 17:00, Visit Duration: 1 hour, Entry Fee: Free"
Coptic Museum,"Set within the ruins of the Roman fortress of Babylon, the museum houses a significant collection of Coptic artwork and artifacts, including textiles and manuscripts that span centuries of Christian history in Egypt.",cairo,30.0051,31.2308,museum,coptic,"['Wall paintings', 'Textiles', 'Ancient manuscripts']",09:00 - 17:00,1 - 2 hours,"100 EGP (foreigners), 10 EGP (Egyptians)","Name: Coptic Museum, Description: Set within the ruins of the Roman fortress of Babylon, the museum houses a significant collection of Coptic artwork and artifacts, including textiles and manuscripts that span centuries of Christian history in Egypt., Location: cairo, Key Features: ['Wall paintings', 'Textiles', 'Ancient manuscripts'], Historical Era: coptic, Type: museum, Opening Hours: 09:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 100 EGP (foreigners), 10 EGP (Egyptians)"
Al-Muizz Street,"One of the oldest streets in Cairo, lined with monuments from the Fatimid, Mamluk, and Ottoman periods. Its historic mosques, madrasas, and caravanserais make it a living museum of Islamic architecture.",cairo,30.0502,31.2611,district,islamic,"['Medieval mosques', 'Historic madrasas', 'Traditional souks']",Open area (varies by monument),2 - 3 hours (walking),Varies per monument,"Name: Al-Muizz Street, Description: One of the oldest streets in Cairo, lined with monuments from the Fatimid, Mamluk, and Ottoman periods. Its historic mosques, madrasas, and caravanserais make it a living museum of Islamic architecture., Location: cairo, Key Features: ['Medieval mosques', 'Historic madrasas', 'Traditional souks'], Historical Era: islamic, Type: district, Opening Hours: Open area (varies by monument), Visit Duration: 2 - 3 hours (walking), Entry Fee: Varies per monument"
Khan el-Khalili,"A labyrinthine bazaar established in the 14th century, famed for its vibrant shops selling spices, gold, and souvenirs. Its historic coffee houses and narrow alleys provide a glimpse into Cairo’s past.",cairo,30.0478,31.2622,market,islamic,"['Spices, souvenirs', 'Historic cafés', 'Traditional crafts']",Most shops 09:00 - 22:00,2 - 3 hours,Free,"Name: Khan el-Khalili, Description: A labyrinthine bazaar established in the 14th century, famed for its vibrant shops selling spices, gold, and souvenirs. Its historic coffee houses and narrow alleys provide a glimpse into Cairo’s past., Location: cairo, Key Features: ['Spices, souvenirs', 'Historic cafés', 'Traditional crafts'], Historical Era: islamic, Type: market, Opening Hours: Most shops 09:00 - 22:00, Visit Duration: 2 - 3 hours, Entry Fee: Free"
Bab Zuweila,"A well-preserved medieval gate in the old city walls of Cairo, featuring minarets that can be climbed for a panoramic view. This gate once served as an entry point to the city and was historically used for ceremonial and defensive purposes.",cairo,30.0404,31.2572,monument,islamic,"['Defensive architecture', 'Tower climb', 'City views']",09:00 - 17:00,1 hour,"40 EGP (foreigners), 10 EGP (Egyptians)","Name: Bab Zuweila, Description: A well-preserved medieval gate in the old city walls of Cairo, featuring minarets that can be climbed for a panoramic view. This gate once served as an entry point to the city and was historically used for ceremonial and defensive purposes., Location: cairo, Key Features: ['Defensive architecture', 'Tower climb', 'City views'], Historical Era: islamic, Type: monument, Opening Hours: 09:00 - 17:00, Visit Duration: 1 hour, Entry Fee: 40 EGP (foreigners), 10 EGP (Egyptians)"
Aqsunqur Mosque (Blue Mosque),"Known for its interior lined with blue Iznik tiles, this 14th-century mosque was later modified under Ottoman influence. Its unique decoration and serene courtyard make it a hidden gem in Islamic Cairo.",cairo,30.0486,31.2652,mosque,islamic,"['Blue Iznik tiles', 'Restored interiors', 'Historic tombs']",09:00 - 17:00,30 - 60 minutes,"60 EGP (foreigners), 10 EGP (Egyptians)","Name: Aqsunqur Mosque (Blue Mosque), Description: Known for its interior lined with blue Iznik tiles, this 14th-century mosque was later modified under Ottoman influence. Its unique decoration and serene courtyard make it a hidden gem in Islamic Cairo., Location: cairo, Key Features: ['Blue Iznik tiles', 'Restored interiors', 'Historic tombs'], Historical Era: islamic, Type: mosque, Opening Hours: 09:00 - 17:00, Visit Duration: 30 - 60 minutes, Entry Fee: 60 EGP (foreigners), 10 EGP (Egyptians)"
Bayt Al-Suhaymi,An elegant 17th-century Ottoman-era house that provides an insight into traditional Cairene family life. Its mashrabiyas (wooden lattice screens) and courtyards showcase typical urban residential design of the period.,cairo,30.0507,31.2625,house,islamic,"['Wooden lattice screens', 'Courtyard garden', 'Cairene domestic style']",09:00 - 17:00,1 hour,"60 EGP (foreigners), 10 EGP (Egyptians)","Name: Bayt Al-Suhaymi, Description: An elegant 17th-century Ottoman-era house that provides an insight into traditional Cairene family life. Its mashrabiyas (wooden lattice screens) and courtyards showcase typical urban residential design of the period., Location: cairo, Key Features: ['Wooden lattice screens', 'Courtyard garden', 'Cairene domestic style'], Historical Era: islamic, Type: house, Opening Hours: 09:00 - 17:00, Visit Duration: 1 hour, Entry Fee: 60 EGP (foreigners), 10 EGP (Egyptians)"
Mosque of Al-Hakim bi-Amr Allah,"Originally constructed in the 10th century during the Fatimid Caliphate, this mosque has thick fortress-like walls and distinctive minarets. It has undergone multiple restorations over the centuries.",cairo,30.0545,31.2619,mosque,islamic,"['Massive minarets', 'Adjacent to Al-Muizz Street', 'Historic renovations']",09:00 - 17:00,30 - 60 minutes,"60 EGP (foreigners), 10 EGP (Egyptians)","Name: Mosque of Al-Hakim bi-Amr Allah, Description: Originally constructed in the 10th century during the Fatimid Caliphate, this mosque has thick fortress-like walls and distinctive minarets. It has undergone multiple restorations over the centuries., Location: cairo, Key Features: ['Massive minarets', 'Adjacent to Al-Muizz Street', 'Historic renovations'], Historical Era: islamic, Type: mosque, Opening Hours: 09:00 - 17:00, Visit Duration: 30 - 60 minutes, Entry Fee: 60 EGP (foreigners), 10 EGP (Egyptians)"
City of the Dead,"A vast Islamic necropolis in Cairo dating back to the 7th century. Many tombs and mausoleums are still used by local families, creating a unique living community amidst centuries of burial traditions.",cairo,30.0491,31.2784,necropolis,islamic,"['Tombs and mausoleums', 'Residential areas', 'Historic burial traditions']",Open area (varies by site),1 - 2 hours,Free or small donations,"Name: City of the Dead, Description: A vast Islamic necropolis in Cairo dating back to the 7th century. Many tombs and mausoleums are still used by local families, creating a unique living community amidst centuries of burial traditions., Location: cairo, Key Features: ['Tombs and mausoleums', 'Residential areas', 'Historic burial traditions'], Historical Era: islamic, Type: necropolis, Opening Hours: Open area (varies by site), Visit Duration: 1 - 2 hours, Entry Fee: Free or small donations"
Gayer-Anderson Museum,"Composed of two adjoining 16th–17th-century houses, this museum was once the residence of a British army officer. It holds a remarkable collection of Islamic furnishings, artwork, and personal curios from around the Middle East.",cairo,30.0241,31.2495,museum,islamic,"['Traditional interiors', 'Eclectic collections', 'Period furnishings']",09:00 - 17:00,1 hour,"60 EGP (foreigners), 10 EGP (Egyptians)","Name: Gayer-Anderson Museum, Description: Composed of two adjoining 16th–17th-century houses, this museum was once the residence of a British army officer. It holds a remarkable collection of Islamic furnishings, artwork, and personal curios from around the Middle East., Location: cairo, Key Features: ['Traditional interiors', 'Eclectic collections', 'Period furnishings'], Historical Era: islamic, Type: museum, Opening Hours: 09:00 - 17:00, Visit Duration: 1 hour, Entry Fee: 60 EGP (foreigners), 10 EGP (Egyptians)"
Greek Orthodox Church of St. George,"A prominent round church within the Babylon Fortress in Old Cairo. The church’s history spans back to the early Christian period, and it features intricate frescoes and icons of St. George.",cairo,30.006,31.2296,church,coptic,"['Circular nave', 'Historic frescoes', 'Pilgrimage site']",09:00 - 17:00,30 - 60 minutes,Free,"Name: Greek Orthodox Church of St. George, Description: A prominent round church within the Babylon Fortress in Old Cairo. The church’s history spans back to the early Christian period, and it features intricate frescoes and icons of St. George., Location: cairo, Key Features: ['Circular nave', 'Historic frescoes', 'Pilgrimage site'], Historical Era: coptic, Type: church, Opening Hours: 09:00 - 17:00, Visit Duration: 30 - 60 minutes, Entry Fee: Free"
National Museum of Egyptian Civilization,"A newly built museum that covers Egyptian history from prehistory through modern times in a chronological narrative. It includes the renowned Royal Mummies Hall, showcasing the preserved remains of ancient rulers.",cairo,29.9864,31.2317,museum,various,"['Royal Mummies Hall', 'Chronological exhibits', 'Modern interactive displays']",09:00 - 17:00,2 hours,"200 EGP (foreigners), 60 EGP (Egyptians)","Name: National Museum of Egyptian Civilization, Description: A newly built museum that covers Egyptian history from prehistory through modern times in a chronological narrative. It includes the renowned Royal Mummies Hall, showcasing the preserved remains of ancient rulers., Location: cairo, Key Features: ['Royal Mummies Hall', 'Chronological exhibits', 'Modern interactive displays'], Historical Era: various, Type: museum, Opening Hours: 09:00 - 17:00, Visit Duration: 2 hours, Entry Fee: 200 EGP (foreigners), 60 EGP (Egyptians)"
Alexandria Catacombs of Kom El Shoqafa,"One of the Seven Wonders of the Middle Ages, these catacombs reflect a fusion of Egyptian, Greek, and Roman styles. A spiral staircase leads visitors through multiple levels of tombs and chambers.",alexandria,31.1815,29.8964,necropolis,greco-roman,"['Hybrid iconography', 'Rock-cut tombs', 'Central spiral staircase']",09:00 - 17:00,1 hour,"100 EGP (foreigners), 20 EGP (Egyptians)","Name: Alexandria Catacombs of Kom El Shoqafa, Description: One of the Seven Wonders of the Middle Ages, these catacombs reflect a fusion of Egyptian, Greek, and Roman styles. A spiral staircase leads visitors through multiple levels of tombs and chambers., Location: alexandria, Key Features: ['Hybrid iconography', 'Rock-cut tombs', 'Central spiral staircase'], Historical Era: greco-roman, Type: necropolis, Opening Hours: 09:00 - 17:00, Visit Duration: 1 hour, Entry Fee: 100 EGP (foreigners), 20 EGP (Egyptians)"
Pompey’s Pillar,"A 3rd-century Roman triumphal column erected to honor Emperor Diocletian, standing amidst the remnants of Alexandria’s ancient acropolis. It is made of red Aswan granite and stands nearly 30 meters tall.",alexandria,31.1829,29.8837,monument,greco-roman,"['Granite column', 'Historical inscriptions', 'Ancient temple ruins nearby']",09:00 - 17:00,30 - 60 minutes,"80 EGP (foreigners), 20 EGP (Egyptians)","Name: Pompey’s Pillar, Description: A 3rd-century Roman triumphal column erected to honor Emperor Diocletian, standing amidst the remnants of Alexandria’s ancient acropolis. It is made of red Aswan granite and stands nearly 30 meters tall., Location: alexandria, Key Features: ['Granite column', 'Historical inscriptions', 'Ancient temple ruins nearby'], Historical Era: greco-roman, Type: monument, Opening Hours: 09:00 - 17:00, Visit Duration: 30 - 60 minutes, Entry Fee: 80 EGP (foreigners), 20 EGP (Egyptians)"
Citadel of Qaitbay,"Built in the 15th century by Sultan Al-Ashraf Qaitbay on the eastern side of the harbor, the citadel occupies the site of the legendary Lighthouse of Alexandria. It served as a vital defensive fortress against maritime threats.",alexandria,31.214,29.8857,fortress,islamic,"['Historic harbor fortifications', 'Site of ancient lighthouse', 'Panoramic sea views']",09:00 - 17:00,1 - 2 hours,"60 EGP (foreigners), 20 EGP (Egyptians)","Name: Citadel of Qaitbay, Description: Built in the 15th century by Sultan Al-Ashraf Qaitbay on the eastern side of the harbor, the citadel occupies the site of the legendary Lighthouse of Alexandria. It served as a vital defensive fortress against maritime threats., Location: alexandria, Key Features: ['Historic harbor fortifications', 'Site of ancient lighthouse', 'Panoramic sea views'], Historical Era: islamic, Type: fortress, Opening Hours: 09:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 60 EGP (foreigners), 20 EGP (Egyptians)"
Montazah Palace,"Once a summer retreat for Egyptian royalty, the palace complex boasts expansive gardens and scenic vistas of the Mediterranean. Khedive Abbas II commissioned the palace in the late 19th century, blending European and Ottoman architectural elements.",alexandria,31.2889,30.0006,palace,modern,"['Royal architecture', 'Lush gardens', 'Mediterranean shoreline']",08:00 - 17:00,2 hours,"25 EGP (garden entry), Palace interior varies","Name: Montazah Palace, Description: Once a summer retreat for Egyptian royalty, the palace complex boasts expansive gardens and scenic vistas of the Mediterranean. Khedive Abbas II commissioned the palace in the late 19th century, blending European and Ottoman architectural elements., Location: alexandria, Key Features: ['Royal architecture', 'Lush gardens', 'Mediterranean shoreline'], Historical Era: modern, Type: palace, Opening Hours: 08:00 - 17:00, Visit Duration: 2 hours, Entry Fee: 25 EGP (garden entry), Palace interior varies"
Roman Amphitheater,"Constructed in the 2nd century AD, this well-preserved theater once staged musical and dramatic performances. Its design demonstrates Roman engineering prowess, complete with marble seating and remarkable acoustics.",alexandria,31.1912,29.8972,theater,greco-roman,"['Marble seating', 'Acoustic design', 'Adjacent Roman ruins']",09:00 - 17:00,1 hour,"80 EGP (foreigners), 20 EGP (Egyptians)","Name: Roman Amphitheater, Description: Constructed in the 2nd century AD, this well-preserved theater once staged musical and dramatic performances. Its design demonstrates Roman engineering prowess, complete with marble seating and remarkable acoustics., Location: alexandria, Key Features: ['Marble seating', 'Acoustic design', 'Adjacent Roman ruins'], Historical Era: greco-roman, Type: theater, Opening Hours: 09:00 - 17:00, Visit Duration: 1 hour, Entry Fee: 80 EGP (foreigners), 20 EGP (Egyptians)"
Alexandria National Museum,"Housed in a renovated Italian-style mansion, the museum narrates the story of Alexandria through Pharaonic, Greco-Roman, Coptic, and Islamic exhibits. Underwater archaeological finds highlight the city’s link to the sea.",alexandria,31.2065,29.9092,museum,various,"['Synchronized timeline', 'Underwater discoveries', 'Renovated Italianate mansion']",09:00 - 17:00,1 - 2 hours,"100 EGP (foreigners), 20 EGP (Egyptians)","Name: Alexandria National Museum, Description: Housed in a renovated Italian-style mansion, the museum narrates the story of Alexandria through Pharaonic, Greco-Roman, Coptic, and Islamic exhibits. Underwater archaeological finds highlight the city’s link to the sea., Location: alexandria, Key Features: ['Synchronized timeline', 'Underwater discoveries', 'Renovated Italianate mansion'], Historical Era: various, Type: museum, Opening Hours: 09:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 100 EGP (foreigners), 20 EGP (Egyptians)"
Luxor Temple,"Erected largely by Amenhotep III and Ramses II, Luxor Temple was dedicated to the rejuvenation of kingship. Its location in the heart of modern Luxor, connected to Karnak by the Avenue of Sphinxes, underscores its central religious importance.",luxor,25.6998,32.6397,temple,pharaonic,"['Avenue of Sphinxes', 'Grand pylons', 'Colossal statues']",06:00 - 22:00,1 - 2 hours,"140 EGP (foreigners), 20 EGP (Egyptians)","Name: Luxor Temple, Description: Erected largely by Amenhotep III and Ramses II, Luxor Temple was dedicated to the rejuvenation of kingship. Its location in the heart of modern Luxor, connected to Karnak by the Avenue of Sphinxes, underscores its central religious importance., Location: luxor, Key Features: ['Avenue of Sphinxes', 'Grand pylons', 'Colossal statues'], Historical Era: pharaonic, Type: temple, Opening Hours: 06:00 - 22:00, Visit Duration: 1 - 2 hours, Entry Fee: 140 EGP (foreigners), 20 EGP (Egyptians)"
Karnak Temple Complex,"Spanning multiple reigns from the Middle to the New Kingdom, Karnak is the largest ancient religious complex in Egypt. Its Great Hypostyle Hall, with 134 gigantic columns, is among the most impressive architectural achievements of antiquity.",luxor,25.7188,32.6573,temple,pharaonic,"['Hypostyle Hall with giant columns', 'Sacred lake', 'Multiple chapels and pylons']",06:00 - 17:30,2 - 3 hours,"200 EGP (foreigners), 40 EGP (Egyptians)","Name: Karnak Temple Complex, Description: Spanning multiple reigns from the Middle to the New Kingdom, Karnak is the largest ancient religious complex in Egypt. Its Great Hypostyle Hall, with 134 gigantic columns, is among the most impressive architectural achievements of antiquity., Location: luxor, Key Features: ['Hypostyle Hall with giant columns', 'Sacred lake', 'Multiple chapels and pylons'], Historical Era: pharaonic, Type: temple, Opening Hours: 06:00 - 17:30, Visit Duration: 2 - 3 hours, Entry Fee: 200 EGP (foreigners), 40 EGP (Egyptians)"
Luxor Museum,"Opened in 1975, this museum highlights artifacts discovered in the Theban region, ranging from the Old Kingdom to the Mamluk period. Its carefully curated displays include statues, jewelry, and well-preserved mummies.",luxor,25.7042,32.6487,museum,pharaonic,"['Theban artifacts', 'Well-preserved statues', 'Rotating special exhibitions']","09:00 - 16:00, 17:00 - 21:00 (varies seasonally)",1 - 2 hours,"160 EGP (foreigners), 20 EGP (Egyptians)","Name: Luxor Museum, Description: Opened in 1975, this museum highlights artifacts discovered in the Theban region, ranging from the Old Kingdom to the Mamluk period. Its carefully curated displays include statues, jewelry, and well-preserved mummies., Location: luxor, Key Features: ['Theban artifacts', 'Well-preserved statues', 'Rotating special exhibitions'], Historical Era: pharaonic, Type: museum, Opening Hours: 09:00 - 16:00, 17:00 - 21:00 (varies seasonally), Visit Duration: 1 - 2 hours, Entry Fee: 160 EGP (foreigners), 20 EGP (Egyptians)"
